id,kode_provinsi,nama_provinsi,nama_kabupaten_kota,jumlah_penduduk,jumlah_penduduk_miskin,jumlah_pengangguran_terbuka,pdrb_total_adhk,harapan_lama_sekolah,tahun,skor,kesejahteraan,,,,,
1,32,JAWA BARAT,BOGOR,4813880,477200,686459,92932000000,3,2010,149.5877167,Sangat Sejahtera,,,,,
2,32,JAWA BARAT,SUKABUMI,2358420,249600,255889,28601000000,3,2010,46.24755,Tidak Sejahtera,,,,,
3,32,JAWA BARAT,CIANJUR,2186790,311000,302214,19697000000,3,2010,25.09996667,Sangat Tidak Sejahtera,,,,,
4,32,JAWA BARAT,BANDUNG,3205120,296300,556729,48432000000,3,2010,70.08921667,Cukup,,,,,
5,32,JAWA BARAT,GARUT,2422330,335600,295040,25465000000,3,2010,36.58466667,Sangat Tidak Sejahtera,,,Harapan Lama Sekolah ,,
6,32,JAWA BARAT,TASIKMALAYA,1687780,214600,143124,15853000000,3,2010,26.97313333,Sangat Tidak Sejahtera,,,Tahun_Sekolah,Pendidikan,Skor
7,32,JAWA BARAT,CIAMIS,1135720,158500,49858,13716000000,3,2010,28.29743333,Sangat Tidak Sejahtera,,,< 6,SD atau kurang,1
8,32,JAWA BARAT,KUNINGAN,1023910,152400,108125,9820000000,3,2010,17.69375,Sangat Tidak Sejahtera,,,6–9,SMP,2
9,32,JAWA BARAT,CIREBON,2044180,333300,278826,21497000000,3,2010,29.4977,Sangat Tidak Sejahtera,,,9–12,SMA,3
10,32,JAWA BARAT,MAJALENGKA,1153230,181100,86031,12883000000,3,2010,24.44611667,Sangat Tidak Sejahtera,,,> 12,Perguruan_Tinggi,4
11,32,JAWA BARAT,SUMEDANG,1101580,141400,86254,14687000000,3,2010,28.70463333,Sangat Tidak Sejahtera,,,,,
12,32,JAWA BARAT,INDRAMAYU,1645020,276000,171905,47860000000,3,2010,88.52475,Sangat Sejahtera,,,,,
13,32,JAWA BARAT,SUBANG,1449210,198300,108836,19817000000,3,2010,36.8872,Sangat Tidak Sejahtera,,,,,
14,32,JAWA BARAT,PURWAKARTA,859186,90300,109632,28017000000,3,2010,55.0474,Tidak Sejahtera,,,,,
15,32,JAWA BARAT,KARAWANG,2144190,260300,364941,99641000000,3,2010,182.6966167,Sangat Sejahtera,,,P = Jumlah penduduk,,Jika Skor < 20          → Sangat Tidak Sejahtera
16,32,JAWA BARAT,BEKASI,2656880,161800,401720,1.54E+11,3,2010,291.9133333,Sangat Sejahtera,,,M = Jumlah penduduk miskin,,Jika 20 ≤ Skor < 40     → Tidak Sejahtera
17,32,JAWA BARAT,BANDUNG BARAT,1522080,222900,287521,19322000000,3,2010,26.55295,Sangat Tidak Sejahtera,,,U = Jumlah pengangguran,,Jika 40 ≤ Skor < 60     → Cukup
18,32,JAWA BARAT,PANGANDARAN,379518,0,84063,4978000000,1,2010,7.75285,Sangat Tidak Sejahtera,,,Y = PDRB total ADHK,,Jika 60 ≤ Skor < 120    → Sejahtera
19,32,JAWA BARAT,KOTA BOGOR,958077,90200,157891,18776000000,3,2010,34.15411667,Sangat Tidak Sejahtera,,,S = Skor harapan lama sekolah (1–4),,Jika Skor ≥ 120         → Sangat Sejahtera
20,32,JAWA BARAT,KOTA SUKABUMI,301014,27700,49848,5322000000,3,2010,13.68993333,Sangat Tidak Sejahtera,,,,,
21,32,JAWA BARAT,KOTA BANDUNG,2412090,118600,399925,1.02E+11,4,2010,190.3370833,Sangat Sejahtera,,,Rumus dalam perhitungan skor,,
22,32,JAWA BARAT,KOTA CIREBON,293206,35500,37530,10094000000,3,2010,23.71983333,Sangat Tidak Sejahtera,,,((Y / 10^10) × 4),,
23,32,JAWA BARAT,KOTA BEKASI,2356100,148000,443418,41283000000,4,2010,65.92843333,Cukup,,, =+ (S * 10),,
24,32,JAWA BARAT,KOTA DEPOK,1755610,49600,199613,26602000000,4,2010,50.39668333,Tidak Sejahtera,,, =- ((M / P) * 50),,
25,32,JAWA BARAT,KOTA CIMAHI,545505,40100,52696,13572000000,4,2010,31.84086667,Sangat Tidak Sejahtera,,, =- ((U / P) * 50),,
26,32,JAWA BARAT,KOTA TASIKMALAYA,639987,131600,71935,9292000000,3,2010,18.79391667,Sangat Tidak Sejahtera,,,,,
27,32,JAWA BARAT,KOTA BANJAR,176506,14900,14032,2026000000,3,2010,9.102066667,Sangat Tidak Sejahtera,,,,,
28,32,JAWA BARAT,BOGOR,4943750,470500,511678,98379000000,3,2011,169.3324333,Sangat Sejahtera,,,,,
29,32,JAWA BARAT,SUKABUMI,2376500,246100,291597,29863000000,3,2011,47.04448333,Tidak Sejahtera,,,,,
30,32,JAWA BARAT,CIANJUR,2201000,306600,188406,20660000000,3,2011,32.7897,Sangat Tidak Sejahtera,,,,,
31,32,JAWA BARAT,BANDUNG,3272830,292200,222880,51250000000,3,2011,92.486,Sangat Sejahtera,,,,,
32,32,JAWA BARAT,GARUT,2450430,330900,154622,26727000000,3,2011,46.2079,Tidak Sejahtera,,,,,
33,32,JAWA BARAT,TASIKMALAYA,1699580,211600,163330,16527000000,3,2011,27.36083333,Sangat Tidak Sejahtera,,,,,
34,32,JAWA BARAT,CIAMIS,1142230,156300,158427,14433000000,4,2011,26.33965,Sangat Tidak Sejahtera,,,,,
35,32,JAWA BARAT,KUNINGAN,1030200,150300,69435,10371000000,3,2011,20.76525,Sangat Tidak Sejahtera,,,,,
36,32,JAWA BARAT,CIREBON,2060400,328600,201095,22622000000,3,2011,35.71258333,Sangat Tidak Sejahtera,,,,,
37,32,JAWA BARAT,MAJALENGKA,1158880,178600,119017,13490000000,3,2011,24.05248333,Sangat Tidak Sejahtera,,,,,
38,32,JAWA BARAT,SUMEDANG,1110080,139400,86142,15391000000,3,2011,30.15156667,Sangat Tidak Sejahtera,,,,,
39,32,JAWA BARAT,INDRAMAYU,1654120,272100,170871,49805000000,3,2011,92.53145,Sangat Sejahtera,,,,,
40,32,JAWA BARAT,SUBANG,1464900,195500,210067,20466000000,3,2011,33.17031667,Sangat Tidak Sejahtera,,,,,
