id,kode_provinsi,nama_provinsi,nama_kabupaten_kota,jumlah_penduduk,jumlah_penduduk_miskin,persentase_penduduk_miskin,tingkat_pengangguran_terbuka,pdrb_total_adhk,harapan_lama_sekolah,tahun,skor,kesejahteraan
1,32,JAWA BARAT,BOGOR,4813880,477200,9.97,14.26,92932000000    ,10.28,2010,61.24744443,SEJAHTERA
2,32,JAWA BARAT,SUKABUMI,2358420,249600,10.65,10.85,28601000000    ,10.08,2010,41.2254573,CUKUP SEJAHTERA
3,32,JAWA BARAT,CIANJUR,2186790,311000,14.32,13.82,19697000000    ,9.62,2010,49.93875303,CUKUP SEJAHTERA
4,32,JAWA BARAT,BANDUNG,3205120,296300,9.29,17.37,48432000000    ,10.82,2010,36.75487304,TIDAK SEJAHTERA
5,32,JAWA BARAT,GARUT,2422330,335600,13.94,12.18,25465000000    ,10.36,2010,49.30125687,CUKUP SEJAHTERA
6,32,JAWA BARAT,TASIKMALAYA,1687780,214600,12.78,8.48,15853000000    ,10.76,2010,46.14061976,CUKUP SEJAHTERA
7,32,JAWA BARAT,CIAMIS,1135720,158500,10.34,4.39,13716000000    ,11.75,2010,43.69872173,CUKUP SEJAHTERA
8,32,JAWA BARAT,KUNINGAN,1023910,152400,14.68,10.56,9820000000    ,10.84,2010,49.31116997,CUKUP SEJAHTERA
9,32,JAWA BARAT,CIREBON,2044180,333300,16.12,13.64,21497000000    ,10.66,2010,54.16705956,CUKUP SEJAHTERA
10,32,JAWA BARAT,MAJALENGKA,1153230,181100,15.51,7.46,12883000000    ,11,2010,51.01001915,CUKUP SEJAHTERA
11,32,JAWA BARAT,SUMEDANG,1101580,141400,12.94,7.83,14687000000    ,10.9,2010,46.15193951,CUKUP SEJAHTERA
12,32,JAWA BARAT,INDRAMAYU,1645020,276000,16.58,10.45,47860000000    ,10.45,2010,54.20761577,CUKUP SEJAHTERA
13,32,JAWA BARAT,SUBANG,1449210,198300,13.54,7.51,19817000000    ,10.59,2010,47.69021058,CUKUP SEJAHTERA
14,32,JAWA BARAT,PURWAKARTA,859186,90300,10.57,12.76,28017000000    ,10.16,2010,42.12659316,CUKUP SEJAHTERA
15,32,JAWA BARAT,KARAWANG,2144190,260300,12.21,17.02,99641000000    ,10.76,2010,45.00288109,CUKUP SEJAHTERA
16,32,JAWA BARAT,BEKASI,2656880,161800,6.11,15.12,154348000000    ,10.54,2010,29.28923457,TIDAK SEJAHTERA
17,32,JAWA BARAT,BANDUNG BARAT,1522080,222900,14.68,18.89,19322000000    ,9.68,2010,49.90000485,CUKUP SEJAHTERA
18,32,JAWA BARAT,PANGANDARAN,379518,0,0,22.15,4978000000    ,0,2010,27.63485172,TIDAK SEJAHTERA
19,32,JAWA BARAT,KOTA BOGOR,958077,90200,9.47,16.48,18776000000    ,11.72,2010,40.17816774,CUKUP SEJAHTERA
20,32,JAWA BARAT,KOTA SUKABUMI,301014,27700,9.24,16.56,5322000000    ,11.55,2010,40.72121951,CUKUP SEJAHTERA
21,32,JAWA BARAT,KOTA BANDUNG,2412090,118600,4.95,16.58,102155000000    ,12.41,2010,27.15228251,TIDAK SEJAHTERA
22,32,JAWA BARAT,KOTA CIREBON,293206,35500,12,12.8,10094000000    ,11.7,2010,44.50782493,CUKUP SEJAHTERA
23,32,JAWA BARAT,KOTA BEKASI,2356100,148000,6.3,18.82,41283000000    ,12.13,2010,30.66991376,TIDAK SEJAHTERA
24,32,JAWA BARAT,KOTA DEPOK,1755610,49600,2.84,11.37,26602000000    ,12.45,2010,25.08338044,TIDAK SEJAHTERA
25,32,JAWA BARAT,KOTA CIMAHI,545505,40100,7.4,9.66,13572000000    ,12.24,2010,37.62763787,TIDAK SEJAHTERA
26,32,JAWA BARAT,KOTA TASIKMALAYA,639987,131600,20.71,11.24,9292000000    ,11.85,2010,57.88790415,CUKUP SEJAHTERA
27,32,JAWA BARAT,KOTA BANJAR,176506,14900,8.47,7.95,2026000000    ,11.9,2010,39.89774249,TIDAK SEJAHTERA
28,32,JAWA BARAT,BOGOR,4943750,470500,9.65,10.35,98379000000    ,10.59,2011,35.46773994,TIDAK SEJAHTERA
