jumlah_penduduk_miskin,jumlah_pengangguran_terbuka,pdrb_total_adhk,harapan_lama_sekolah,kesejahteraan
477200,686459,92932000000.0,3,Sangat Sejahtera
249600,255889,28601000000.0,3,Tidak Sejahtera
311000,302214,19697000000.0,3,Sangat Tidak Sejahtera
296300,556729,48432000000.0,3,Cukup
335600,295040,25465000000.0,3,Sangat Tidak Sejahtera
214600,143124,15853000000.0,3,Sangat Tidak Sejahtera
158500,49858,13716000000.0,3,Sangat Tidak Sejahtera
152400,108125,9820000000.0,3,Sangat Tidak Sejahtera
333300,278826,21497000000.0,3,Sangat Tidak Sejahtera
181100,86031,12883000000.0,3,Sangat Tidak Sejahtera
141400,86254,14687000000.0,3,Sangat Tidak Sejahtera
276000,171905,47860000000.0,3,Sangat Sejahtera
198300,108836,19817000000.0,3,Sangat Tidak Sejahtera
90300,109632,28017000000.0,3,Tidak Sejahtera
260300,364941,99641000000.0,3,Sangat Sejahtera
161800,401720,154000000000.0,3,Sangat Sejahtera
222900,287521,19322000000.0,3,Sangat Tidak Sejahtera
0,84063,4978000000.0,1,Sangat Tidak Sejahtera
90200,157891,18776000000.0,3,Sangat Tidak Sejahtera
27700,49848,5322000000.0,3,Sangat Tidak Sejahtera
118600,399925,102000000000.0,4,Sangat Sejahtera
35500,37530,10094000000.0,3,Sangat Tidak Sejahtera
148000,443418,41283000000.0,4,Cukup
49600,199613,26602000000.0,4,Tidak Sejahtera
40100,52696,13572000000.0,4,Sangat Tidak Sejahtera
131600,71935,9292000000.0,3,Sangat Tidak Sejahtera
14900,14032,2026000000.0,3,Sangat Tidak Sejahtera
470500,511678,98379000000.0,3,Sangat Sejahtera
246100,291597,29863000000.0,3,Tidak Sejahtera
306600,188406,20660000000.0,3,Sangat Tidak Sejahtera
292200,222880,51250000000.0,3,Sangat Sejahtera
330900,154622,26727000000.0,3,Tidak Sejahtera
211600,163330,16527000000.0,3,Sangat Tidak Sejahtera
156300,158427,14433000000.0,4,Sangat Tidak Sejahtera
150300,69435,10371000000.0,3,Sangat Tidak Sejahtera
328600,201095,22622000000.0,3,Sangat Tidak Sejahtera
178600,119017,13490000000.0,3,Sangat Tidak Sejahtera
139400,86142,15391000000.0,3,Sangat Tidak Sejahtera
272100,170871,49805000000.0,3,Sangat Sejahtera
195500,210067,20466000000.0,3,Sangat Tidak Sejahtera
89000,90489,29893000000.0,3,Cukup
256700,295431,106000000000.0,3,Sangat Sejahtera
159500,527252,165000000000.0,3,Sangat Sejahtera
219800,259580,20419000000.0,3,Sangat Tidak Sejahtera
0,50732,5194000000.0,1,Sangat Tidak Sejahtera
88900,130109,19944000000.0,3,Sangat Tidak Sejahtera
27300,42445,5651000000.0,3,Sangat Tidak Sejahtera
116900,238788,110000000000.0,4,Sangat Sejahtera
35000,44900,10677000000.0,4,Sangat Tidak Sejahtera
145900,204117,43946000000.0,4,Sejahtera
48900,125252,28413000000.0,4,Cukup
39500,58964,14319000000.0,4,Sangat Tidak Sejahtera
129800,63722,9758000000.0,4,Sangat Tidak Sejahtera
14700,19908,2137000000.0,4,Sangat Tidak Sejahtera
451000,542317,104000000000.0,3,Sangat Sejahtera
234600,185472,31768000000.0,3,Cukup
292200,172462,21817000000.0,3,Sangat Tidak Sejahtera
279500,170992,54468000000.0,3,Sangat Sejahtera
315800,194949,27815000000.0,3,Tidak Sejahtera
201500,221843,17192000000.0,3,Sangat Tidak Sejahtera
147800,66859,15214000000.0,4,Sangat Tidak Sejahtera
142300,81883,10963000000.0,3,Sangat Tidak Sejahtera
311300,234449,23858000000.0,3,Sangat Tidak Sejahtera
168600,101564,14307000000.0,3,Sangat Tidak Sejahtera
132900,106650,16401000000.0,3,Sangat Tidak Sejahtera
257300,247514,51389000000.0,3,Sangat Sejahtera
185400,133708,20589000000.0,3,Sangat Tidak Sejahtera
85000,117845,31934000000.0,3,Cukup
245100,378295,111000000000.0,3,Sangat Sejahtera
153100,451393,175000000000.0,3,Sangat Sejahtera
209900,190753,21652000000.0,3,Sangat Tidak Sejahtera
0,44803,5463000000.0,1,Sangat Tidak Sejahtera
84800,120504,21204000000.0,3,Tidak Sejahtera
26000,25721,5978000000.0,4,Sangat Tidak Sejahtera
111400,332224,120000000000.0,4,Sangat Sejahtera
33200,24384,11309000000.0,4,Sangat Tidak Sejahtera
139800,146668,46907000000.0,4,Sangat Sejahtera
47000,203009,30703000000.0,4,Cukup
37700,53290,15212000000.0,4,Sangat Tidak Sejahtera
123000,65790,10325000000.0,4,Sangat Tidak Sejahtera
13900,18623,2251000000.0,4,Sangat Tidak Sejahtera
499100,462987,111000000000.0,3,Sangat Sejahtera
222800,199658,33517000000.0,3,Cukup
267900,197162,22883000000.0,3,Sangat Tidak Sejahtera
271700,306834,57691000000.0,3,Sangat Sejahtera
320900,254745,29138000000.0,3,Tidak Sejahtera
199300,134169,17991000000.0,4,Sangat Tidak Sejahtera
133000,92900,16027000000.0,4,Sangat Tidak Sejahtera
139400,105426,11649000000.0,3,Sangat Tidak Sejahtera
307200,190469,25042000000.0,3,Tidak Sejahtera
164900,110964,15013000000.0,3,Sangat Tidak Sejahtera
127400,113187,17195000000.0,4,Sangat Tidak Sejahtera
251100,171784,52859000000.0,3,Sangat Sejahtera
185400,140408,21431000000.0,3,Sangat Tidak Sejahtera
83600,92584,34216000000.0,3,Cukup
238600,224763,120000000000.0,3,Sangat Sejahtera
157700,310418,186000000000.0,3,Sangat Sejahtera
206000,167775,22937000000.0,3,Tidak Sejahtera
0,40582,5733000000.0,3,Sangat Tidak Sejahtera
83300,107380,22485000000.0,4,Tidak Sejahtera
25200,32180,6302000000.0,4,Sangat Tidak Sejahtera
117700,224707,129000000000.0,4,Sangat Sejahtera
31900,21664,11864000000.0,4,Sangat Tidak Sejahtera
137800,233135,49741000000.0,4,Sangat Sejahtera
45900,191116,32806000000.0,4,Cukup
32300,64294,16072000000.0,4,Sangat Tidak Sejahtera
112200,75594,10962000000.0,4,Sangat Tidak Sejahtera
12800,11465,2374000000.0,4,Sangat Tidak Sejahtera
479100,261226,117000000000.0,3,Sangat Sejahtera
213500,127887,35521000000.0,4,Cukup
256600,158491,24042000000.0,3,Tidak Sejahtera
266800,556651,61100000000.0,3,Sangat Sejahtera
315600,169507,30542000000.0,3,Tidak Sejahtera
194800,128261,18850000000.0,4,Sangat Tidak Sejahtera
130000,90063,16839000000.0,4,Sangat Tidak Sejahtera
133600,84031,12385000000.0,4,Sangat Tidak Sejahtera
300500,195348,26313000000.0,3,Tidak Sejahtera
158000,132335,15751000000.0,3,Sangat Tidak Sejahtera
122000,88032,18005000000.0,4,Sangat Tidak Sejahtera
240700,169716,55464000000.0,3,Sangat Sejahtera
177900,141171,22506000000.0,3,Tidak Sejahtera
80300,105834,36177000000.0,3,Cukup
229000,206336,127000000000.0,3,Sangat Sejahtera
156600,390338,197000000000.0,3,Sangat Sejahtera
197900,140832,24265000000.0,3,Tidak Sejahtera
0,36580,5974000000.0,3,Sangat Tidak Sejahtera
80100,88333,23835000000.0,4,Tidak Sejahtera
24100,22145,6644000000.0,4,Sangat Tidak Sejahtera
115000,153190,139000000000.0,4,Sangat Sejahtera
30600,23971,12541000000.0,4,Sangat Tidak Sejahtera
139700,274293,52534000000.0,4,Sangat Sejahtera
47500,288352,35193000000.0,4,Cukup
31800,58596,16955000000.0,4,Sangat Tidak Sejahtera
104500,53300,11637000000.0,4,Sangat Tidak Sejahtera
12700,11553,2492000000.0,4,Sangat Tidak Sejahtera
487100,319391,124000000000.0,3,Sangat Sejahtera
217900,200093,37265000000.0,4,Cukup
273900,333892,25352000000.0,3,Sangat Tidak Sejahtera
281000,259757,64702000000.0,4,Sangat Sejahtera
325700,163373,31919000000.0,3,Cukup
208100,167177,19662000000.0,4,Sangat Tidak Sejahtera
104900,85781,17780000000.0,4,Sangat Tidak Sejahtera
147200,99737,13176000000.0,4,Sangat Tidak Sejahtera
313200,208366,27596000000.0,3,Tidak Sejahtera
167500,84757,16591000000.0,3,Sangat Tidak Sejahtera
129000,108496,18950000000.0,4,Sangat Tidak Sejahtera
253100,165756,56663000000.0,4,Sangat Sejahtera
187200,170986,23697000000.0,3,Tidak Sejahtera
83900,101099,37899000000.0,3,Sejahtera
235000,205077,132000000000.0,3,Sangat Sejahtera
169200,308371,206000000000.0,3,Sangat Sejahtera
205700,125302,25486000000.0,3,Tidak Sejahtera
42000,44632,6271000000.0,3,Sangat Tidak Sejahtera
79200,68324,25299000000.0,4,Tidak Sejahtera
27800,22395,6985000000.0,4,Sangat Tidak Sejahtera
114100,189832,150000000000.0,4,Sangat Sejahtera
31700,24876,13269000000.0,4,Sangat Tidak Sejahtera
146900,403694,55456000000.0,4,Sangat Sejahtera
50000,178597,37529000000.0,4,Sejahtera
34100,45225,17876000000.0,4,Tidak Sejahtera
106800,45563,12371000000.0,4,Sangat Tidak Sejahtera
13400,8926,2624000000.0,4,Sangat Tidak Sejahtera
490800,384412,132000000000.0,4,Sangat Sejahtera
198700,325623,39447000000.0,4,Cukup
261400,100619,26981000000.0,3,Tidak Sejahtera
272700,270106,68805000000.0,4,Sangat Sejahtera
298500,205817,33804000000.0,3,Cukup
195600,117430,20825000000.0,4,Tidak Sejahtera
98800,92033,18845000000.0,4,Sangat Tidak Sejahtera
144100,117870,13978000000.0,4,Sangat Tidak Sejahtera
288500,145510,29149000000.0,4,Tidak Sejahtera
152500,96822,17592000000.0,3,Sangat Tidak Sejahtera
120600,108271,20030000000.0,4,Tidak Sejahtera
237000,197974,56706000000.0,4,Sangat Sejahtera
170400,124453,24977000000.0,3,Tidak Sejahtera
83600,102784,40170000000.0,3,Sejahtera
230600,214885,141000000000.0,3,Sangat Sejahtera
164400,284571,216000000000.0,4,Sangat Sejahtera
192500,158575,26926000000.0,3,Tidak Sejahtera
40100,21134,6603000000.0,4,Sangat Tidak Sejahtera
77300,78574,27002000000.0,4,Cukup
27500,32142,7379000000.0,4,Sangat Tidak Sejahtera
107600,250307,161000000000.0,4,Sangat Sejahtera
30200,31235,14077000000.0,4,Sangat Tidak Sejahtera
140000,112325,58831000000.0,4,Sangat Sejahtera
50600,141688,40263000000.0,4,Sejahtera
35100,50551,18882000000.0,4,Tidak Sejahtera
102800,46106,13225000000.0,4,Sangat Tidak Sejahtera
12700,13624,2773000000.0,4,Sangat Tidak Sejahtera
487300,600648,140000000000.0,4,Sangat Sejahtera
197100,98385,41716000000.0,4,Sejahtera
257400,203093,28539000000.0,3,Tidak Sejahtera
268000,311262,73039000000.0,4,Sangat Sejahtera
291200,259920,35465000000.0,3,Cukup
189400,174732,22063000000.0,4,Tidak Sejahtera
96800,136046,19827000000.0,4,Sangat Tidak Sejahtera
141600,107140,14867000000.0,4,Sangat Tidak Sejahtera
279600,216174,30623000000.0,4,Tidak Sejahtera
150300,57418,18789000000.0,4,Tidak Sejahtera
120600,127026,21277000000.0,4,Tidak Sejahtera
233400,154925,57515000000.0,4,Sangat Sejahtera
167800,140938,26251000000.0,3,Tidak Sejahtera
85300,106408,42239000000.0,3,Sejahtera
236800,216823,148000000000.0,3,Sangat Sejahtera
164000,261801,228000000000.0,4,Sangat Sejahtera
190900,149986,28330000000.0,3,Tidak Sejahtera
39500,21572,6940000000.0,4,Sangat Tidak Sejahtera
76500,79779,28655000000.0,4,Cukup
27400,30922,7780000000.0,4,Sangat Tidak Sejahtera
104000,191342,173000000000.0,4,Sangat Sejahtera
30200,31646,14893000000.0,4,Sangat Tidak Sejahtera
136000,112097,62202000000.0,4,Sangat Sejahtera
52300,177204,42981000000.0,4,Sejahtera
34500,39733,19907000000.0,4,Tidak Sejahtera
97900,34195,14028000000.0,4,Sangat Tidak Sejahtera
12900,14482,2920000000.0,4,Sangat Tidak Sejahtera
415000,561310,148000000000.0,4,Sangat Sejahtera
166300,123527,44141000000.0,4,Sejahtera
221600,161633,30320000000.0,3,Tidak Sejahtera
246100,321175,77613000000.0,4,Sangat Sejahtera
241300,227799,37225000000.0,3,Cukup
172400,159543,23321000000.0,4,Tidak Sejahtera
85700,113511,20879000000.0,4,Tidak Sejahtera
131200,117873,15822000000.0,4,Sangat Tidak Sejahtera
232400,203039,32162000000.0,4,Cukup
129300,40057,20007000000.0,4,Tidak Sejahtera
112100,110045,22508000000.0,4,Tidak Sejahtera
204200,137536,58288000000.0,4,Sangat Sejahtera
136600,133268,27408000000.0,3,Tidak Sejahtera
75900,88571,44342000000.0,4,Sangat Sejahtera
188000,217715,157000000000.0,4,Sangat Sejahtera
157200,254163,242000000000.0,4,Sangat Sejahtera
169000,141936,29889000000.0,3,Tidak Sejahtera
32200,27367,7309000000.0,4,Sangat Tidak Sejahtera
64900,65479,30414000000.0,4,Cukup
23200,32075,8210000000.0,4,Sangat Tidak Sejahtera
89400,196290,185000000000.0,4,Sangat Sejahtera
28000,32357,15817000000.0,4,Sangat Tidak Sejahtera
119800,148647,65845000000.0,4,Sangat Sejahtera
49400,165917,45979000000.0,4,Sangat Sejahtera
29900,42060,21193000000.0,4,Tidak Sejahtera
84200,30749,14859000000.0,4,Sangat Tidak Sejahtera
10400,16635,3067000000.0,4,Sangat Tidak Sejahtera
395000,634719,157000000000.0,4,Sangat Sejahtera
153300,123315,46628000000.0,4,Sangat Sejahtera
207100,170638,32039000000.0,3,Cukup
223200,319390,82547000000.0,4,Sangat Sejahtera
235200,228411,39092000000.0,3,Cukup
159900,174358,24587000000.0,4,Tidak Sejahtera
79400,109002,22001000000.0,4,Tidak Sejahtera
123200,105270,16864000000.0,4,Sangat Tidak Sejahtera
217600,187493,33668000000.0,4,Cukup
121100,43260,21562000000.0,4,Tidak Sejahtera
104200,112244,23933000000.0,4,Tidak Sejahtera
191900,148132,60153000000.0,4,Sangat Sejahtera
129200,128462,28673000000.0,3,Tidak Sejahtera
71900,87335,46278000000.0,4,Sangat Sejahtera
173700,215146,164000000000.0,4,Sangat Sejahtera
149400,250676,252000000000.0,4,Sangat Sejahtera
159000,135992,31398000000.0,3,Cukup
30700,27512,7743000000.0,4,Sangat Tidak Sejahtera
64000,66170,32296000000.0,4,Cukup
21900,29945,8664000000.0,4,Sangat Tidak Sejahtera
84700,201886,198000000000.0,4,Sangat Sejahtera
26800,31323,16812000000.0,4,Sangat Tidak Sejahtera
113700,165515,69407000000.0,4,Sangat Sejahtera
49400,176900,49077000000.0,4,Sangat Sejahtera
26900,38762,22856000000.0,4,Tidak Sejahtera
77000,34237,15746000000.0,4,Sangat Tidak Sejahtera
10100,17724,3221000000.0,4,Sangat Tidak Sejahtera
465700,559870,154000000000.0,4,Sangat Sejahtera
175100,118809,46205000000.0,4,Sangat Sejahtera
234500,190233,31792000000.0,3,Cukup
263600,301981,81061000000.0,4,Sangat Sejahtera
262800,223714,38598000000.0,3,Cukup
181500,181081,24345000000.0,4,Tidak Sejahtera
91400,118682,21970000000.0,4,Tidak Sejahtera
139200,104633,16883000000.0,4,Sangat Tidak Sejahtera
247900,187077,33304000000.0,4,Cukup
138200,58831,21755000000.0,4,Tidak Sejahtera
118400,105291,23665000000.0,4,Tidak Sejahtera
220300,155302,59200000000.0,4,Sangat Sejahtera
149800,131309,28344000000.0,3,Tidak Sejahtera
80200,89887,45293000000.0,4,Sangat Sejahtera
195400,202029,158000000000.0,4,Sangat Sejahtera
186300,189826,243000000000.0,4,Sangat Sejahtera
179500,144179,30640000000.0,3,Cukup
36100,28639,7739000000.0,4,Sangat Tidak Sejahtera
75000,64099,32163000000.0,4,Cukup
25400,49276,8535000000.0,4,Sangat Tidak Sejahtera
100000,234082,193000000000.0,4,Sangat Sejahtera
30600,36750,16648000000.0,4,Sangat Tidak Sejahtera
134000,217599,67619000000.0,4,Sangat Sejahtera
60400,183396,48136000000.0,4,Sangat Sejahtera
31600,40311,22341000000.0,4,Tidak Sejahtera
86100,40394,15430000000.0,4,Sangat Tidak Sejahtera
11200,22470,3252000000.0,4,Sangat Tidak Sejahtera
491200,631774,160000000000.0,4,Sangat Sejahtera
194400,160451,47936000000.0,4,Sangat Sejahtera
260000,247313,32898000000.0,3,Tidak Sejahtera
269200,336386,83949000000.0,4,Sangat Sejahtera
281400,247763,39981000000.0,4,Cukup
200600,207772,25179000000.0,4,Tidak Sejahtera
96600,142252,22775000000.0,4,Tidak Sejahtera
143400,135705,17484000000.0,4,Sangat Tidak Sejahtera
271000,281913,34128000000.0,4,Cukup
151100,66803,22789000000.0,4,Tidak Sejahtera
126300,146994,24415000000.0,4,Tidak Sejahtera
228600,225356,59545000000.0,4,Sangat Sejahtera
159000,181356,28961000000.0,3,Tidak Sejahtera
84300,110680,46840000000.0,4,Sangat Sejahtera
210800,263323,167000000000.0,4,Sangat Sejahtera
202700,310781,252000000000.0,4,Sangat Sejahtera
190800,240520,31702000000.0,3,Tidak Sejahtera
39100,34005,8023000000.0,4,Sangat Tidak Sejahtera
80100,70727,33372000000.0,4,Cukup
27200,42788,8851000000.0,4,Sangat Tidak Sejahtera
112500,234080,200000000000.0,4,Sangat Sejahtera
32000,31297,17156000000.0,4,Tidak Sejahtera
144100,213659,69797000000.0,4,Sangat Sejahtera
63900,180642,49947000000.0,4,Sangat Sejahtera
32500,35386,23276000000.0,4,Tidak Sejahtera
89500,36589,15981000000.0,4,Sangat Tidak Sejahtera
13400,23678,3365000000.0,4,Sangat Tidak Sejahtera
474700,576745,168000000000.0,4,Sangat Sejahtera
186300,158470,50389000000.0,4,Sangat Sejahtera
246800,232237,34556000000.0,4,Cukup
258600,306042,88438000000.0,4,Sangat Sejahtera
276700,258802,42013000000.0,4,Sejahtera
194100,202468,26362000000.0,4,Tidak Sejahtera
94000,147085,23919000000.0,4,Tidak Sejahtera
140300,119971,18450000000.0,4,Sangat Tidak Sejahtera
266100,271603,35524000000.0,4,Cukup
147100,43160,24298000000.0,4,Tidak Sejahtera
120100,137806,25595000000.0,4,Tidak Sejahtera
225000,201953,61260000000.0,4,Sangat Sejahtera
155300,187435,30203000000.0,3,Tidak Sejahtera
83400,107741,49293000000.0,4,Sangat Sejahtera
199900,271585,177000000000.0,4,Sangat Sejahtera
201100,311719,265000000000.0,4,Sangat Sejahtera
183700,239734,33393000000.0,3,Cukup
37900,32831,8426000000.0,4,Sangat Tidak Sejahtera
79200,64611,35259000000.0,4,Sejahtera
26600,37817,9324000000.0,4,Sangat Tidak Sejahtera
109800,193018,211000000000.0,4,Sangat Sejahtera
31500,28505,18030000000.0,4,Tidak Sejahtera
137400,181345,73261000000.0,4,Sangat Sejahtera
64400,160635,52565000000.0,4,Sangat Sejahtera
31200,24297,24653000000.0,4,Tidak Sejahtera
87100,27468,16781000000.0,4,Sangat Tidak Sejahtera
12700,20124,3517000000.0,4,Sangat Tidak Sejahtera
453800,456351,177000000000.0,4,Sangat Sejahtera
178700,116580,52994000000.0,4,Sangat Sejahtera
240100,197488,36340000000.0,4,Cukup
245500,241500,92830000000.0,4,Sangat Sejahtera
260500,208521,44087000000.0,4,Sejahtera
186900,166867,27599000000.0,4,Tidak Sejahtera
90800,123527,25112000000.0,4,Tidak Sejahtera
133900,123901,19419000000.0,4,Sangat Tidak Sejahtera
249200,227310,37247000000.0,4,Cukup
138700,20914,25793000000.0,4,Cukup
111400,127014,26877000000.0,4,Tidak Sejahtera
214700,167269,67238000000.0,4,Sangat Sejahtera
152300,157558,31605000000.0,3,Cukup
81500,87321,51741000000.0,4,Sangat Sejahtera
187200,222541,187000000000.0,4,Sangat Sejahtera
204100,253166,279000000000.0,4,Sangat Sejahtera
179400,200283,35062000000.0,3,Cukup
36700,28563,8870000000.0,4,Sangat Tidak Sejahtera
75000,59211,37055000000.0,4,Sejahtera
25000,30546,9802000000.0,4,Sangat Tidak Sejahtera
102800,183483,222000000000.0,4,Sangat Sejahtera
29500,26367,18934000000.0,4,Tidak Sejahtera
129400,171294,77242000000.0,4,Sangat Sejahtera
62000,157258,55222000000.0,4,Sangat Sejahtera
28600,22981,25932000000.0,4,Cukup
79400,26110,17782000000.0,4,Tidak Sejahtera
11700,19693,3682000000.0,4,Sangat Tidak Sejahtera
446800,434696,186000000000.0,4,Sangat Sejahtera
175900,116514,55724000000.0,4,Sangat Sejahtera
239300,179398,38208000000.0,4,Cukup
239900,242452,97510000000.0,4,Sangat Sejahtera
259300,207847,46271000000.0,4,Sejahtera
186800,148295,28880000000.0,4,Tidak Sejahtera
90800,112701,26361000000.0,4,Tidak Sejahtera
131800,107676,20507000000.0,4,Tidak Sejahtera
245900,193664,39418000000.0,4,Sejahtera
134600,20559,27439000000.0,4,Cukup
108900,111472,27966000000.0,4,Cukup
212100,163268,68702000000.0,4,Sangat Sejahtera
152600,146857,33126000000.0,4,Cukup
81400,80456,54142000000.0,4,Sangat Sejahtera
187800,201796,195000000000.0,4,Sangat Sejahtera
204500,228189,294000000000.0,4,Sangat Sejahtera
179700,198217,36794000000.0,3,Cukup
36000,28434,9324000000.0,4,Sangat Tidak Sejahtera
73900,58554,38965000000.0,4,Sejahtera
24100,26845,10303000000.0,4,Sangat Tidak Sejahtera
101100,179752,233000000000.0,4,Sangat Sejahtera
29200,20657,19884000000.0,4,Tidak Sejahtera
128800,168162,81252000000.0,4,Sangat Sejahtera
62600,150589,58242000000.0,4,Sangat Sejahtera
27000,22391,27297000000.0,4,Cukup
76700,25300,18710000000.0,4,Tidak Sejahtera
11200,16322,3884000000.0,4,Sangat Tidak Sejahtera
